#ip,ioc
43.138.212.90,Possible Cobaltstrike C2 IP
43.138.235.42,Possible Cobaltstrike C2 IP
43.138.249.231,Possible Cobaltstrike C2 IP
43.138.30.109,Possible Cobaltstrike C2 IP
43.138.65.90,Possible Cobaltstrike C2 IP
43.138.66.190,Possible Cobaltstrike C2 IP
43.138.75.234,Possible Cobaltstrike C2 IP
43.138.77.115,Possible Cobaltstrike C2 IP
43.139.147.15,Possible Cobaltstrike C2 IP
43.139.151.208,Possible Cobaltstrike C2 IP
43.139.182.57,Possible Cobaltstrike C2 IP
43.139.235.226,Possible Cobaltstrike C2 IP
43.142.12.13,Possible Cobaltstrike C2 IP
43.142.241.70,Possible Cobaltstrike C2 IP
43.143.143.195,Possible Cobaltstrike C2 IP
43.143.168.10,Possible Cobaltstrike C2 IP
43.143.18.42,Possible Cobaltstrike C2 IP
43.143.186.7,Possible Cobaltstrike C2 IP
43.143.246.164,Possible Cobaltstrike C2 IP
43.143.47.110,Possible Cobaltstrike C2 IP
43.152.14.32,Possible Cobaltstrike C2 IP
43.152.23.105,Possible Cobaltstrike C2 IP
43.152.25.238,Possible Cobaltstrike C2 IP
43.153.206.194,Possible Cobaltstrike C2 IP
43.153.222.28,Possible Cobaltstrike C2 IP
43.163.194.174,Possible Cobaltstrike C2 IP
43.206.102.244,Possible Cobaltstrike C2 IP
43.249.9.208,Possible Cobaltstrike C2 IP
44.211.191.212,Possible Cobaltstrike C2 IP
45.134.225.243,Possible Cobaltstrike C2 IP
45.135.118.251,Possible Cobaltstrike C2 IP
45.136.14.51,Possible Cobaltstrike C2 IP
45.145.228.117,Possible Cobaltstrike C2 IP
45.152.67.162,Possible Cobaltstrike C2 IP
45.152.67.31,Possible Cobaltstrike C2 IP
45.200.14.17,Possible Metasploit C2 IP
45.32.11.46,Possible Cobaltstrike C2 IP
45.32.65.63,Possible Metasploit C2 IP
45.76.125.214,Possible Cobaltstrike C2 IP
45.76.90.103,Possible Cobaltstrike C2 IP
46.183.219.233,Possible Metasploit C2 IP
47.100.170.9,Possible Cobaltstrike C2 IP
47.101.134.121,Possible Cobaltstrike C2 IP
47.101.148.200,Possible Cobaltstrike C2 IP
47.101.170.17,Possible Cobaltstrike C2 IP
47.103.106.214,Possible Cobaltstrike C2 IP
47.103.13.224,Possible Cobaltstrike C2 IP
47.103.77.37,Possible Cobaltstrike C2 IP
47.104.179.218,Possible Cobaltstrike C2 IP
47.108.183.77,Possible Cobaltstrike C2 IP
47.109.102.98,Possible Cobaltstrike C2 IP
47.109.19.188,Possible Cobaltstrike C2 IP
47.109.56.200,Possible Cobaltstrike C2 IP
47.111.182.150,Possible Cobaltstrike C2 IP
47.112.227.200,Possible Cobaltstrike C2 IP
47.113.191.88,Possible Cobaltstrike C2 IP
47.115.201.46,Possible Cobaltstrike C2 IP
47.116.198.16,Possible Cobaltstrike C2 IP
47.116.25.208,Possible Cobaltstrike C2 IP
47.117.163.173,Possible Cobaltstrike C2 IP
47.120.32.46,Possible Cobaltstrike C2 IP
47.120.37.45,Possible Cobaltstrike C2 IP
47.206.167.222,Possible Cobaltstrike C2 IP
47.232.145.107,Possible Cobaltstrike C2 IP
47.236.123.61,Possible Cobaltstrike C2 IP
47.236.13.182,Possible Cobaltstrike C2 IP
47.236.70.51,Possible Cobaltstrike C2 IP
47.242.203.102,Possible Cobaltstrike C2 IP
47.242.37.176,Possible Cobaltstrike C2 IP
47.243.175.24,Possible Cobaltstrike C2 IP
